name	description	function	returns	argument	type	details
ee.Algorithms.GeometryConstructors.MultiLineString	Constructs a MultiLineString from the given coordinates.	ee.Algorithms.GeometryConstructors.MultiLineString(coordinates, crs, geodesic, maxError)	Geometry	coordinates|crs|geodesic|maxError	List|Projection, default: null|Boolean, default: null|ErrorMargin, default: null	
ee.Algorithms.GeometryConstructors.MultiPoint	Constructs a MultiPoint from the given coordinates.	ee.Algorithms.GeometryConstructors.MultiPoint(coordinates, crs)	Geometry	coordinates|crs	List|Projection, default: null	
ee.Algorithms.GeometryConstructors.MultiPolygon	Constructs a MultiPolygon from the given coordinates.	ee.Algorithms.GeometryConstructors.MultiPolygon(coordinates, crs, geodesic, maxError, evenOdd)	Geometry	coordinates|crs|geodesic|maxError|evenOdd	List|Projection, default: null|Boolean, default: null|ErrorMargin, default: null|Boolean, default: true	
ee.Algorithms.GeometryConstructors.Point	Constructs a new Point from the given x,y coordinates.	ee.Algorithms.GeometryConstructors.Point(coordinates, crs)	Geometry	coordinates|crs	List|Projection, default: null	
ee.Algorithms.GeometryConstructors.Polygon	Constructs a Polygon from the given coordinates.	ee.Algorithms.GeometryConstructors.Polygon(coordinates, crs, geodesic, maxError, evenOdd)	Geometry	coordinates|crs|geodesic|maxError|evenOdd	List|Projection, default: null|Boolean, default: null|ErrorMargin, default: null|Boolean, default: true	
ee.Algorithms.GeometryConstructors.Rectangle	Constructs a rectangular polygon from the given corner points.	ee.Algorithms.GeometryConstructors.Rectangle(coordinates, crs, geodesic, evenOdd)	Geometry	coordinates|crs|geodesic|evenOdd	List|Projection, default: null|Boolean, default: null|Boolean, default: true	
ee.Algorithms.HillShadow	Creates a shadow band, with output 1 where pixels are illumunated and 0 where they are shadowed. Takes as input an elevation band, azimuth and zenith of the light source in degrees, a neighborhood size, and whether or not to apply hysteresis when a shadow appears. Currently, this algorithm only works for Mercator projections, in which light rays are parallel.	ee.Algorithms.HillShadow(image, azimuth, zenith, neighborhoodSize, hysteresis)	Image	image|azimuth|zenith|neighborhoodSize|hysteresis	Image|Float|Float|Integer, default: 0|Boolean, default: false	
ee.Algorithms.HoughTransform	Applies the Hough transform to an image. For every input band, outputs a band where lines are detected by thresholding the Hough transform with a value of lineThreshold. The output band is named [input]_lines, where [input] is the name of the original band. The defaults provided for the parameters are intended as a starting point for use with UINT8 images.	ee.Algorithms.HoughTransform(image, gridSize, inputThreshold, lineThreshold, smooth)	Image	image|gridSize|inputThreshold|lineThreshold|smooth	Image|Integer, default: 256|Float, default: 64|Float, default: 72|Boolean, default: true	
ee.Algorithms.If	Selects one of its inputs based on a condition, similar to an if-then-else construct.	ee.Algorithms.If(condition, trueCase, falseCase)	Object	condition|trueCase|falseCase	Object, default: null|Object, default: null|Object, default: null	
ee.Algorithms.Image.Segmentation.GMeans	Performs G-Means clustering on the input image. Iteratively applies k-means followed by a normality test to automatically determine the number of clusters to use. The output contains a 'clusters' band containing the integer ID of the cluster that each pixel belongs to. The algorithm can work either on a fixed grid of non-overlapping cells (gridSize, which can be smaller than a tile) or on tiles with overlap (neighborhoodSize). The default is to use tiles with no overlap. Clusters in one cell or tile are unrelated to clusters in another. Any cluster that spans a cell or tile boundary may receive two different labels in the two halves. Any input pixels with partial masks are fully masked in the output. This algorithm is only expected to perform well for images with a narrow dynamic range (i.e. bytes or shorts).	ee.Algorithms.Image.Segmentation.GMeans(image, numIterations, pValue, neighborhoodSize, gridSize, uniqueLabels)	Image	image|numIterations|pValue|neighborhoodSize|gridSize|uniqueLabels	Image|Integer, default: 10|Float, default: 50|Integer, default: 0|Integer, default: null|Boolean, default: true	
ee.Algorithms.Image.Segmentation.KMeans	Performs K-Means clustering on the input image. Outputs a 1-band image  containing the ID of the cluster that each pixel belongs to.  The algorithm can work either on a fixed grid of non-overlapping cells (gridSize, which can be smaller than a tile) or on tiles with overlap (neighborhoodSize). The default is to use tiles with no overlap.  Clusters in one cell or tile are unrelated to clusters in another.  Any cluster that spans a cell or tile boundary may receive two different labels in the two halves.  Any input pixels with partial masks are fully masked in the output.	ee.Algorithms.Image.Segmentation.KMeans(image, numClusters, numIterations, neighborhoodSize, gridSize, forceConvergence, uniqueLabels)	Image	image|numClusters|numIterations|neighborhoodSize|gridSize|forceConvergence|uniqueLabels	Image|Integer, default: 8|Integer, default: 20|Integer, default: 0|Integer, default: null|Boolean, default: false|Boolean, default: true	
ee.Algorithms.Image.Segmentation.SNIC	Superpixel clustering based on SNIC (Simple Non-Iterative Clustering). Outputs a band of cluster IDs and the per-cluster averages for each of the input bands. If the 'seeds' image isn't provided as input, the output will include a 'seeds' band containing the generated seed locations. See: Achanta, Radhakrishna and Susstrunk, Sabine, 'Superpixels and Polygons using Simple Non-Iterative Clustering', CVPR, 2017.	ee.Algorithms.Image.Segmentation.SNIC(image, size, compactness, connectivity, neighborhoodSize, seeds)	Image	image|size|compactness|connectivity|neighborhoodSize|seeds	Image|Integer, default: 5|Float, default: 1|Integer, default: 8|Integer, default: null|Image, default: null	
ee.Algorithms.Image.Segmentation.seedGrid	Selects seed pixels for clustering.	ee.Algorithms.Image.Segmentation.seedGrid(size, gridType)	Image	size|gridType	"Integer, default: 5|String, default: ""square"""	
ee.Algorithms.IsEqual	Returns whether two objects are equal.	ee.Algorithms.IsEqual(left, right)	Boolean	left|right	Object, default: null|Object, default: null	
ee.Algorithms.Landsat.TOA	Calibrates Landsat DN to TOA reflectance and brightness temperature for Landsat and similar data. For recently-acquired scenes calibration coefficients are extracted from the image metadata; for older scenes the coefficients are derived from:	ee.Algorithms.Landsat.TOA(input)	Image	input	Image	
ee.Algorithms.Landsat.calibratedRadiance	Calibrates each band of an image by applying linear transformation with slope RADIANCE_MULT_BAND_N and y-intercept RADIANCE_ADD_BAND_N; these values are extracted from the image metadata.	ee.Algorithms.Landsat.calibratedRadiance(image)	Image	image	Image	
ee.Algorithms.Landsat.pathRowLimit	Limits requests to an ImageCollection of Landsat scenes to return a controllable number of the best scenes for each request. This is intended for use with statistical algorithms like median composites that need a certain amount of good data to perform well, but that do not benefit substantially from additional data beyond that while becoming needlessly expensive.  The default arguments select approximately one year's worth of good data.	ee.Algorithms.Landsat.pathRowLimit(collection, maxScenesPerPathRow, maxScenesTotal)	ImageCollection	collection|maxScenesPerPathRow|maxScenesTotal	ImageCollection|Integer, default: 25|Integer, default: 100	
ee.Algorithms.Landsat.simpleCloudScore	Computes a simple cloud-likelihood score in the range [0,100] using a combination of brightness, temperature, and NDSI.  This is not a robust cloud detector, and is intended mainly to compare multiple looks at the same point for relative cloud likelihood.	ee.Algorithms.Landsat.simpleCloudScore(image)	Image	image	Image	
ee.Algorithms.Landsat.simpleComposite	Computes a Landsat TOA composite from a collection of raw Landsat scenes.  It applies standard TOA calibration and then assigns a cloud score to each pixel using the SimpleLandsatCloudScore algorithm. It selects the lowest possible range of cloud scores at each point and then computes per-band percentile values from the accepted pixels.  This algorithm also uses the LandsatPathRowLimit algorithm to select only the least-cloudy scenes in regions where more than maxDepth input scenes are available.	ee.Algorithms.Landsat.simpleComposite(collection, percentile, cloudScoreRange, maxDepth, asFloat)	Image	collection|percentile|cloudScoreRange|maxDepth|asFloat	ImageCollection|Integer, default: 50|Integer, default: 10|Integer, default: 40|Boolean, default: false	
ee.Algorithms.ObjectType	Returns a string representing the type of the given object.	ee.Algorithms.ObjectType(value)	String	value	Object, default: null	
ee.Algorithms.ProjectionTransform	Transforms the geometry of a feature to a specific projection.	ee.Algorithms.ProjectionTransform(feature, proj, maxError)	Feature	feature|proj|maxError	Element|Projection, optional|ErrorMargin, default: null	
ee.Algorithms.Sentinel2.CDI	"Computes the Cloud Displacement Index (CDI) from a Sentinel-2 Level 1C image. CDI is a measure of the optical separation in elevated objects due to sensor parallax. Returns a floating point band named ""cdi""."	ee.Algorithms.Sentinel2.CDI(source)	Image	source	Image	
ee.Algorithms.String	Converts the input to a string.	ee.Algorithms.String(input)	String	input	Object	
ee.Algorithms.TemporalSegmentation.Ccdc	Implements the Continuous Change Detection and Classification temporal breakpoint algorithm.  This algorithm finds temporal breakpoints in an image collection by iteratively fitting harmonic functions to the data.  Fit coefficients are produced for all input bands, but the bands used for breakpoint detection can be specified with the 'breakpointBands' argument.	ee.Algorithms.TemporalSegmentation.Ccdc(collection, breakpointBands, tmaskBands, minObservations, chiSquareProbability, minNumOfYearsScaler, dateFormat, lambda, maxIterations)	Image	collection|breakpointBands|tmaskBands|minObservations|chiSquareProbability|minNumOfYearsScaler|dateFormat|lambda|maxIterations	ImageCollection|List, default: null|List, default: null|Integer, default: 6|Float, default: 0.99|Float, default: 1.33|Integer, default: 0|Float, default: 20|Integer, default: 25000	
ee.Algorithms.TemporalSegmentation.Ewmacd	Exponentially Weighted Moving Average Change Detection. This algorithm computes a harmonic model for the 'training' portion of the input data and subtracts that from the original results.  The residuals are then subjected to Shewhart X-bar charts and an exponentially weighted moving average.  Disturbed pixels are indicated when the charts signal a deviation from the given control limits.	ee.Algorithms.TemporalSegmentation.Ewmacd(timeSeries, vegetationThreshold, trainingStartYear, trainingEndYear, harmonicCount, xBarLimit1, xBarLimit2, lambda, lambdasigs, rounding, persistence)	Image	timeSeries|vegetationThreshold|trainingStartYear|trainingEndYear|harmonicCount|xBarLimit1|xBarLimit2|lambda|lambdasigs|rounding|persistence	ImageCollection|Float|Integer|Integer|Integer, default: 2|Float, default: 1.5|Integer, default: 20|Float, default: 0.3|Float, default: 3|Boolean, default: true|Integer, default: 3	
ee.Algorithms.TemporalSegmentation.LandTrendr	Landsat-based detection of Trends in Disturbance and Recovery: temporally segments a time-series of images by extracting the spectral trajectories of change over time. The first band of each image is used to find breakpoints, and those breakpoints are used to perform fitting on all subsequent bands. The breakpoints are returned as a 2-D matrix of 4 rows and as many columns as images. The first two rows are the original X and Y values. The third row contains the Y values fitted to the estimated segments, and the 4th row contains a 1 if the corresponding point was used as a segment vertex or 0 if not. Any additional fitted bands are appended as rows in the output. Breakpoint fitting assumes that increasing values represent disturbance and decreasing values represent recovery.	ee.Algorithms.TemporalSegmentation.LandTrendr(timeSeries, maxSegments, spikeThreshold, vertexCountOvershoot, preventOneYearRecovery, recoveryThreshold, pvalThreshold, bestModelProportion, minObservationsNeeded)	Image	timeSeries|maxSegments|spikeThreshold|vertexCountOvershoot|preventOneYearRecovery|recoveryThreshold|pvalThreshold|bestModelProportion|minObservationsNeeded	ImageCollection|Integer|Float, default: 0.9|Integer, default: 3|Boolean, default: false|Float, default: 0.25|Float, default: 0.1|Float, default: 0.75|Integer, default: 6	
ee.Algorithms.TemporalSegmentation.LandTrendrFit	Interpolates a time series using a set of LandTrendr breakpoint years. For each input band in the timeSeries, outputs a new 1D array-valued band containing the input values interpolated between the breakpoint times identified by the vertices image.  See the LandTrendr Algorithm for more details.	ee.Algorithms.TemporalSegmentation.LandTrendrFit(timeSeries, vertices, spikeThreshold, minObservationsNeeded)	Image	timeSeries|vertices|spikeThreshold|minObservationsNeeded	ImageCollection|Image|Float, default: 0.9|Integer, default: 6	
ee.Algorithms.TemporalSegmentation.StructuralChangeBreakpoints	Runs breakpoint detection, similar to R's strucchange::breakpoints function.	ee.Algorithms.TemporalSegmentation.StructuralChangeBreakpoints(collection, breakpointBand, seasonalModelOrder, minSpacing, maxBreaks, dateFormat)	Image	collection|breakpointBand|seasonalModelOrder|minSpacing|maxBreaks|dateFormat	ImageCollection|String, default: null|Integer, default: 3|Float, default: 0.15|Integer, default: 0|Integer, default: 1	
ee.Algorithms.TemporalSegmentation.VCT	Vegetation Change Tracker, an automated approach for reconstructing recent forest disturbance history using dense Landsat time series stacks.	ee.Algorithms.TemporalSegmentation.VCT(timeSeries, landCover, maxUd, minNdvi, forThrMax, nYears)	Image	timeSeries|landCover|maxUd|minNdvi|forThrMax|nYears	ImageCollection|ImageCollection|Float, default: 4|Float, default: 0.45|Float, default: 3|Integer, default: 30	
ee.Algorithms.TemporalSegmentation.Verdet	Vegetation Regeneration and Disturbance Estimates through Time, forest change detection algorithm. This algorithm generates a yearly clear-sky composite from satellite imagery, calculates a spectral vegetation index for each pixel in that composite, spatially segments the vegetation index image into patches, temporally divides the time series into differently sloped segments, and then labels those segments as disturbed, stable, or regenerating. Segmentation at both the spatial and temporal steps are performed using total variation regularization.	ee.Algorithms.TemporalSegmentation.Verdet(timeSeries, tolerance, alpha, nRuns)	Image	timeSeries|tolerance|alpha|nRuns	ImageCollection|Float, default: 0.0001|Float, default: 0.03333333333333333|Integer, default: 100	
ee.Algorithms.Terrain	Calculates slope, aspect, and a simple hillshade from a terrain DEM.	ee.Algorithms.Terrain(input)	Image	input	Image	
ee.Array	Returns an array with the given coordinates.	ee.Array(values, pixelType)	Array	values|pixelType	Object|PixelType, default: null	
ee.Array.abs	On an element-wise basis, computes the absolute value of the input.	Array.abs()	Array	input	Array	
ee.Array.accum	Accumulates elements of an array along the given axis, by setting each element of the result to the reduction of elements along that axis up to and including the current position. May be used to make a cumulative sum, a monotonically increasing sequence, etc.	Array.accum(axis, reducer)	Array	array|axis|reducer	Array|Integer|Reducer, default: null	
ee.Array.acos	On an element-wise basis, computes the arc cosine in radians of the input.	Array.acos()	Array	input	Array	
ee.Array.add	On an element-wise basis, adds the first value to the second.	Array.add(right)	Array	left|right	Array|Array	
ee.Array.and	On an element-wise basis, returns 1 if and only if both values are non-zero.	Array.and(right)	Array	left|right	Array|Array	
ee.Array.argmax	Returns the position, as a list of indices in each array axis, of the maximum value in an array, or null if the array is empty. If there are multiple occurrences of the maximum, returns the position of the first.	Array.argmax()	List	array	Array	
ee.Array.asin	On an element-wise basis, computes the arc sine in radians of the input.	Array.asin()	Array	input	Array	
ee.Array.atan	On an element-wise basis, computes the arc tangent in radians of the input.	Array.atan()	Array	input	Array	
ee.Array.atan2	On an element-wise basis, calculates the angle formed by the 2D vector [x, y].	Array.atan2(right)	Array	left|right	Array|Array	
ee.Array.bitCount	On an element-wise basis, calculates the number of one-bits in the 64-bit two's complement binary representation of the input.	Array.bitCount()	Array	input	Array	
ee.Array.bitsToArray	Convert the bits of an integer to an Array.  The array has as many elements as the position of the highest set bit, or a single 0 for a value of 0.	ee.Array.bitsToArray(input)	Array	input	Number	
ee.Array.bitwiseAnd	On an element-wise basis, calculates the bitwise AND of the input values.	Array.bitwiseAnd(right)	Array	left|right	Array|Array	
ee.Array.bitwiseNot	On an element-wise basis, calculates the bitwise NOT of the input, in the smallest signed integer type that can hold the input.	Array.bitwiseNot()	Array	input	Array	
ee.Array.bitwiseOr	On an element-wise basis, calculates the bitwise OR of the input values.	Array.bitwiseOr(right)	Array	left|right	Array|Array	
ee.Array.bitwiseXor	On an element-wise basis, calculates the bitwise XOR of the input values.	Array.bitwiseXor(right)	Array	left|right	Array|Array	
ee.Array.byte	On an element-wise basis, casts the input value to an unsigned 8-bit integer.	Array.byte()	Array	input	Array	
ee.Array.cat	Concatenates multiple arrays into a single array along the given axis.  Each array must have the same dimensionality and the same length on all axes except the concatenation axis.	ee.Array.cat(arrays, axis)	Array	arrays|axis	List|Integer, default: 0	
ee.Array.cbrt	On an element-wise basis, computes the cubic root of the input.	Array.cbrt()	Array	input	Array	
ee.Array.ceil	On an element-wise basis, computes the smallest integer greater than or equal to the input.	Array.ceil()	Array	input	Array	
ee.Array.cos	On an element-wise basis, computes the cosine of the input in radians.	Array.cos()	Array	input	Array	
ee.Array.cosh	On an element-wise basis, computes the hyperbolic cosine of the input.	Array.cosh()	Array	input	Array	
ee.Array.cut	Cut an array along one or more axes.	Array.cut(position)	Array	array|position	Array|List	
ee.Array.digamma	On an element-wise basis, computes the digamma function of the input.	Array.digamma()	Array	input	Array	
ee.Array.divide	On an element-wise basis, divides the first value by the second, returning 0 for division by 0.	Array.divide(right)	Array	left|right	Array|Array	
ee.Array.dotProduct	Compute the dot product between two 1-D arrays.	Array.dotProduct(array2)	Number	array1|array2	Array|Array	
ee.Array.double	On an element-wise basis, casts the input value to a 64-bit float.	Array.double()	Array	input	Array	
ee.Array.eigen	Computes the real eigenvectors and eigenvalues of a square 2D array of A rows and A columns. Returns an array with A rows and A+1 columns, where each row contains an eigenvalue in the first column, and the corresponding eigenvector in the remaining A columns. The rows are sorted by eigenvalue, in descending order.	Array.eigen()	Array	input	Array	
ee.Array.eq	On an element-wise basis, returns 1 if and only if the first value is equal to the second.	Array.eq(right)	Array	left|right	Array|Array	
ee.Array.erf	On an element-wise basis, computes the error function of the input.	Array.erf()	Array	input	Array	
ee.Array.erfInv	On an element-wise basis, computes the inverse error function of the input.	Array.erfInv()	Array	input	Array	
ee.Array.erfc	On an element-wise basis, computes the complementary error function of the input.	Array.erfc()	Array	input	Array	
ee.Array.erfcInv	On an element-wise basis, computes the inverse complementary error function of the input.	Array.erfcInv()	Array	input	Array	
ee.Array.exp	On an element-wise basis, computes the Euler's number e raised to the power of the input.	Array.exp()	Array	input	Array	
ee.Array.first	On an element-wise basis, selects the value of the first value.	Array.first(right)	Array	left|right	Array|Array	
ee.Array.firstNonZero	On an element-wise basis, selects the first value if it is non-zero, and the second value otherwise.	Array.firstNonZero(right)	Array	left|right	Array|Array	
ee.Array.float	On an element-wise basis, casts the input value to a 32-bit float.	Array.float()	Array	input	Array	
ee.Array.floor	On an element-wise basis, computes the largest integer less than or equal to the input.	Array.floor()	Array	input	Array	
ee.Array.gamma	On an element-wise basis, computes the gamma function of the input.	Array.gamma()	Array	input	Array	
ee.Array.gammainc	On an element-wise basis, calculates the regularized lower incomplete Gamma function γ(x,a).	Array.gammainc(right)	Array	left|right	Array|Array	
ee.Array.get	Extracts the value at the given position from the input array.	Array.get(position)	Number	array|position	Array|List	
ee.Array.gt	On an element-wise basis, returns 1 if and only if the first value is greater than the second.	Array.gt(right)	Array	left|right	Array|Array	
ee.Array.gte	On an element-wise basis, returns 1 if and only if the first value is greater than or equal to the second.	Array.gte(right)	Array	left|right	Array|Array	
ee.Array.hypot	On an element-wise basis, calculates the magnitude of the 2D vector [x, y].	Array.hypot(right)	Array	left|right	Array|Array	
ee.Array.identity	Creates a 2D identity matrix of the given size.	ee.Array.identity(size)	Array	size	Integer	
ee.Array.int	On an element-wise basis, casts the input value to a signed 32-bit integer.	Array.int()	Array	input	Array	
ee.Array.int16	On an element-wise basis, casts the input value to a signed 16-bit integer.	Array.int16()	Array	input	Array	
ee.Array.int32	On an element-wise basis, casts the input value to a signed 32-bit integer.	Array.int32()	Array	input	Array	
ee.Array.int64	On an element-wise basis, casts the input value to a signed 64-bit integer.	Array.int64()	Array	input	Array	
ee.Array.int8	On an element-wise basis, casts the input value to a signed 8-bit integer.	Array.int8()	Array	input	Array	
ee.Array.lanczos	On an element-wise basis, computes the Lanczos approximation of the input.	Array.lanczos()	Array	input	Array	
ee.Array.leftShift	On an element-wise basis, calculates the left shift of v1 by v2 bits.	Array.leftShift(right)	Array	left|right	Array|Array	
ee.Array.length	Returns a 1-D ee.Array containing the length of each dimension of the given ee.Array.	Array.length()	Array	array	Array	
ee.Array.log	On an element-wise basis, computes the natural logarithm of the input.	Array.log()	Array	input	Array	
ee.Array.log10	On an element-wise basis, computes the base-10 logarithm of the input.	Array.log10()	Array	input	Array	
ee.Array.long	On an element-wise basis, casts the input value to a signed 64-bit integer.	Array.long()	Array	input	Array	
ee.Array.lt	On an element-wise basis, returns 1 if and only if the first value is less than the second.	Array.lt(right)	Array	left|right	Array|Array	
ee.Array.lte	On an element-wise basis, returns 1 if and only if the first value is less than or equal to the second.	Array.lte(right)	Array	left|right	Array|Array	
ee.Array.mask	Creates a subarray by slicing out each position in an input array that is parallel to a non-zero element of the given mask array.	Array.mask(mask)	Array	input|mask	Array|Array	
ee.Array.matrixCholeskyDecomposition	Calculates the Cholesky decomposition of a matrix. The Cholesky decomposition is a decomposition into the form L * L' where L is a lower triangular matrix. The input must be a symmetric positive-definite matrix. Returns a dictionary with 1 entry named 'L'.	Array.matrixCholeskyDecomposition()	Dictionary	array	Array	
ee.Array.matrixDeterminant	Computes the determinant of the matrix.	Array.matrixDeterminant()	Number	input	Array	
ee.Array.matrixDiagonal	Computes the diagonal of the matrix in a single column.	Array.matrixDiagonal()	Array	input	Array	
ee.Array.matrixFnorm	Computes the Frobenius norm of the matrix.	Array.matrixFnorm()	Number	input	Array	
ee.Array.matrixInverse	Computes the inverse of the matrix.	Array.matrixInverse()	Array	input	Array	
ee.Array.matrixLUDecomposition	Calculates the LU matrix decomposition such that P×input=L×U, where L is lower triangular (with unit diagonal terms), U is upper triangular and P is a partial pivot permutation matrix. The input matrix must be square. Returns a dictionary with entries named 'L', 'U' and 'P'.	Array.matrixLUDecomposition()	Dictionary	array	Array	
ee.Array.matrixMultiply	Returns the matrix multiplication A * B.	Array.matrixMultiply(right)	Array	left|right	Array|Array	
ee.Array.matrixPseudoInverse	Computes the Moore-Penrose pseudoinverse of the matrix.	Array.matrixPseudoInverse()	Array	input	Array	
ee.Array.matrixQRDecomposition	Calculates the QR-decomposition of a matrix into two matrices Q and R such that input = QR, where Q is orthogonal, and R is upper triangular. Returns a dictionary with entries named 'Q' and 'R'.	Array.matrixQRDecomposition()	Dictionary	array	Array	
ee.Array.matrixSingularValueDecomposition	Calculates the Singular Value Decomposition of the input matrix into U×S×V', such that U and V are orthogonal and S is diagonal. Returns a dictionary with entries named 'U', 'S' and 'V'.	Array.matrixSingularValueDecomposition()	Dictionary	array	Array	
ee.Array.matrixSolve	Solves for x in the matrix equation A * x = B, finding a least-squares solution if A is overdetermined.	Array.matrixSolve(right)	Array	left|right	Array|Array	
ee.Array.matrixToDiag	Computes a square diagonal matrix from a single column matrix.	Array.matrixToDiag()	Array	input	Array	
ee.Array.matrixTrace	Computes the trace of the matrix.	Array.matrixTrace()	Number	input	Array	
ee.Array.matrixTranspose	Transposes two dimensions of an array.	Array.matrixTranspose(axis1, axis2)	Array	array|axis1|axis2	Array|Integer, default: 0|Integer, default: 1	
ee.Array.max	On an element-wise basis, selects the maximum of the first and second values.	Array.max(right)	Array	left|right	Array|Array	
ee.Array.min	On an element-wise basis, selects the minimum of the first and second values.	Array.min(right)	Array	left|right	Array|Array	
ee.Array.mod	On an element-wise basis, calculates the remainder of the first value divided by the second.	Array.mod(right)	Array	left|right	Array|Array	
ee.Array.multiply	On an element-wise basis, multiplies the first value by the second.	Array.multiply(right)	Array	left|right	Array|Array	
ee.Array.neq	On an element-wise basis, returns 1 if and only if the first value is not equal to the second.	Array.neq(right)	Array	left|right	Array|Array	
ee.Array.not	On an element-wise basis, returns 0 if the input is non-zero, and 1 otherwise.	Array.not()	Array	input	Array	
ee.Array.or	On an element-wise basis, returns 1 if and only if either input value is non-zero.	Array.or(right)	Array	left|right	Array|Array	
ee.Array.pad	Pad an array to a given length. The pad value will be repeatedly appended to the array to extend it to given length along each axis. If the array is already as large or larger than a given length, it will remain unchanged along that axis.	Array.pad(lengths, pad)	Array	array|lengths|pad	Array|List|Number, default: 0	
ee.Array.pow	On an element-wise basis, raises the first value to the power of the second.	Array.pow(right)	Array	left|right	Array|Array	
ee.Array.project	Projects an array to a lower dimensional space by specifying the axes to retain. Dropped axes must be at most length 1.	Array.project(axes)	Array	array|axes	Array|List	
ee.Array.reduce	Apply a reducer to an array by collapsing all the input values along each specified axis into a single output value computed by the reducer.	Array.reduce(reducer, axes, fieldAxis)	Array	array|reducer|axes|fieldAxis	Array|Reducer|List|Integer, default: null	
ee.Array.repeat	Repeats the array along the given axis. The result will have the shape of the input, except length along the repeated axis will be multiplied by the given number of copies.	Array.repeat(axis, copies)	Array	array|axis|copies	Array|Integer, default: 0|Integer, default: 2	
ee.Array.reshape	Reshapes an array to a new list of dimension lengths.	Array.reshape(shape)	Array	array|shape	Array|Array	
ee.Array.rightShift	On an element-wise basis, calculates the signed right shift of v1 by v2 bits.	Array.rightShift(right)	Array	left|right	Array|Array	
ee.Array.round	On an element-wise basis, computes the integer nearest to the input.	Array.round()	Array	input	Array	
ee.Array.short	On an element-wise basis, casts the input value to a signed 16-bit integer.	Array.short()	Array	input	Array	
ee.Array.signum	On an element-wise basis, computes the signum function (sign) of the input; zero if the input is zero, 1 if the input is greater than zero, -1 if the input is less than zero.	Array.signum()	Array	input	Array	
ee.Array.sin	On an element-wise basis, computes the sine of the input in radians.	Array.sin()	Array	input	Array	
ee.Array.sinh	On an element-wise basis, computes the hyperbolic sine of the input.	Array.sinh()	Array	input	Array	
